[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mcking tx_Data_request for 810732 times 
[28.0] Checking tx_Data_request for 810733 times 
[28.0] Checking tx_Data_request for 810734 times 
[28.0] Checking tx_Data_request for 810735 times 
[28.0] Checking tx_Data_request for 810736 times 
[28.0] Checking tx_Data_request for 810737 times 
[28.0] Checking tx_Data_request for 810738 times 
[28.0] Checking tx_Data_request for 810739 times 
[28.0] Checking tx_Data_request for 810740 times 
[28.0] Checking tx_Data_request for 810741 times 
[28.0] Checking tx_Data_request for 810742 times 
[28.0] Checking tx_Data_request for 810743 times 
[28.0] Checking tx_Data_request for 810744 times 
[28.0] Checking tx_Data_request for 810745 times 
[28.0] Checking tx_Data_request for 810746 times 
[28.0] Checking tx_Data_request for 810747 times 
[28.0] Checking tx_Data_request for 810748 times 
[28.0] Checking tx_Data_request for 810749 times 
[28.0] Checking tx_Data_request for 810750 times 
[28.0] Checking tx_Data_request for 810751 times 
[28.0] Checking tx_Data_request for 810752 times 
[28.0] Checking tx_Data_request for 810753 times 
[28.0] Checking tx_Data_request for 810754 times 
[28.0] Checking tx_Data_request for 810755 times 
[28.0] Checking tx_Data_request for 810756 times 
[28.0] Checking tx_Data_request for 810757 times 
[28.0] Checking tx_Data_request for 810758 times 
[28.0] Checking tx_Data_request for 810759 times 
[28.0] Checking tx_Data_request for 810760 times 
[28.0] Checking tx_Data_request for 810761 times 
[28.0] Checking tx_Data_request for 810762 times 
[28.0] Checking tx_Data_request for 810763 times 
[28.0] Checking tx_Data_request for 810764 times 
[28.0] Checking tx_Data_request for 810765 times 
[28.0] Checking tx_Data_request for 810766 times 
[28.0] Checking tx_Data_request for 810767 times 
[28.0] Checking tx_Data_request for 810768 times 
[28.0] Checking tx_Data_request for 810769 times 
[28.0] Checking tx_Data_request for 810770 times 
[28.0] Checking tx_Data_request for 810771 times 
[28.0] Checking tx_Data_request for 810772 times 
[28.0] Checking tx_Data_request for 810773 times 
[28.0] Checking tx_Data_request for 810774 times 
[28.0] Checking tx_Data_request for 810775 times 
[28.0] Checking tx_Data_request for 810776 times 
[28.0] Checking tx_Data_request for 810777 times 
[28.0] Checking tx_Data_request for 810778 times 
[28.0] Checking tx_Data_request for 810779 times 
[28.0] Checking tx_Data_request for 810780 times 
[28.0] Checking tx_Data_request for 810781 times 
[28.0] Checking tx_Data_request for 810782 times 
[28.0] Checking tx_Data_request for 810783 times 
[28.0] Checking tx_Data_request for 810784 times 
[28.0] Checking tx_Data_request for 810785 times 
[28.0] Checking tx_Data_request for 810786 times 
[28.0] Checking tx_Data_request for 810787 times 
[28.0] Checking tx_Data_request for 810788 times 
[28.0] Checking tx_Data_request for 810789 times 
[28.0] Checking tx_Data_request for 810790 times 
[28.0] Checking tx_Data_request for 810791 times 
[28.0] Checking tx_Data_request for 810792 times 
[28.0] Checking tx_Data_request for 810793 times 
[28.0] Checking tx_Data_request for 810794 times 
[28.0] Checking tx_Data_request for 810795 times 
[28.0] Checking tx_Data_request for 810796 times 
[28.0] Checking tx_Data_request for 810797 times 
[28.0] Checking tx_Data_request for 810798 times 
[28.0] Checking tx_Data_request for 810799 times 
[28.0] Checking tx_Data_request for 810800 times 
[28.0] Checking tx_Data_request for 810801 times 
[28.0] Checking tx_Data_request for 810802 times 
[28.0] Checking tx_Data_request for 810803 times 
[28.0] Checking tx_Data_request for 810804 times 
[28.0] Checking tx_Data_request for 810805 times 
[28.0] Checking tx_Data_request for 810806 times 
[28.0] Checking tx_Data_request for 810807 times 
[28.0] Checking tx_Data_request for 810808 times 
[28.0] Checking tx_Data_request for 810809 times 
[28.0] Checking tx_Data_request for 810810 times 
[28.0] Checking tx_Data_request for 810811 times 
[28.0] Checking tx_Data_request for 810812 times 
[28.0] Checking tx_Data_request for 810813 times 
[28.0][1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m Checking tx_Data_request for 810814 times 
[28.0] Checking tx_Data_request for 810815 times 
[28.0] Checking tx_Data_request for 810816 times 
[28.0] Checking tx_Data_request for 810817 times 
[28.0] Checking tx_Data_request for 810818 times 
[28.0] Checking tx_Data_request for 810819 times 
[28.0] Checking tx_Data_request for 810820 times 
[28.0] Checking tx_Data_request for 810821 times 
[28.0] Checking tx_Data_request for 810822 times 
