[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m561367 times 
[24.0] Checking tx_Data_request for 561368 times 
[24.0] Checking tx_Data_request for 561369 times 
[24.0] Checking tx_Data_request for 561370 times 
[24.0] Checking tx_Data_request for 561371 times 
[24.0] Checking tx_Data_request for 561372 times 
[24.0] Checking tx_Data_request for 561373 times 
[24.0] Checking tx_Data_request for 561374 times 
[24.0] Checking tx_Data_request for 561375 times 
[24.0] Checking tx_Data_request for 561376 times 
[24.0] Checking tx_Data_request for 561377 times 
[24.0] Checking tx_Data_request for 561378 times 
[24.0] Checking tx_Data_request for 561379 times 
[24.0] Checking tx_Data_request for 561380 times 
[24.0] Checking tx_Data_request for 561381 times 
[24.0] Checking tx_Data_request for 561382 times 
[24.0] Checking tx_Data_request for 561383 times 
[24.0] Checking tx_Data_request for 561384 times 
[24.0] Checking tx_Data_request for 561385 times 
[24.0] Checking tx_Data_request for 561386 times 
[24.0] Checking tx_Data_request for 561387 times 
[24.0] Checking tx_Data_request for 561388 times 
[24.0] Checking tx_Data_request for 561389 times 
[24.0] Checking tx_Data_request for 561390 times 
[24.0] Checking tx_Data_request for 561391 times 
[24.0] Checking tx_Data_request for 561392 times 
[24.0] Checking tx_Data_request for 561393 times 
[24.0] Checking tx_Data_request for 561394 times 
[24.0] Checking tx_Data_request for 561395 times 
[24.0] Checking tx_Data_request for 561396 times 
[24.0] Checking tx_Data_request for 561397 times 
[24.0] Checking tx_Data_request for 561398 times 
[24.0] Checking tx_Data_request for 561399 times 
[24.0] Checking tx_Data_request for 561400 times 
[24.0] Checking tx_Data_request for 561401 times 
[24.0] Checking tx_Data_request for 561402 times 
[24.0] Checking tx_Data_request for 561403 times 
[24.0] Checking tx_Data_request for 561404 times 
[24.0] Checking tx_Data_request for 561405 times 
[24.0] Checking tx_Data_request for 561406 times 
[24.0] Checking tx_Data_request for 561407 times 
[24.0] Checking tx_Data_request for 561408 times 
[24.0] Checking tx_Data_request for 561409 times 
[24.0] Checking tx_Data_request for 561410 times 
[24.0] Checking tx_Data_request for 561411 times 
[24.0] Checking tx_Data_request for 561412 times 
[24.0] Checking tx_Data_request for 561413 times 
[24.0] Checking tx_Data_request for 561414 times 
[24.0] Checking tx_Data_request for 561415 times 
[24.0] Checking tx_Data_request for 561416 times 
[24.0] Checking tx_Data_request for 561417 times 
[24.0] Checking tx_Data_request for 561418 times 
[24.0] Checking tx_Data_request for 561419 times 
[24.0] Checking tx_Data_request for 561420 times 
[24.0] Checking tx_Data_request for 561421 times 
[24.0] Checking tx_Data_request for 561422 times 
[24.0] Checking tx_Data_request for 561423 times 
[24.0] Checking tx_Data_request for 561424 times 
[24.0] Checking tx_Data_request for 561425 times 
[24.0] Checking tx_Data_request for 561426 times 
[24.0] Checking tx_Data_request for 561427 times 
[24.0] Checking tx_Data_request for 561428 times 
[24.0] Checking tx_Data_request for 561429 times 
[24.0] Checking tx_Data_request for 561430 times 
[24.0] Checking tx_Data_request for 561431 times 
[24.0] Checking tx_Data_request for 561432 times 
[24.0] Checking tx_Data_request for 561433 times 
[24.0] Checking tx_Data_request for 561434 times 
[24.0] Checking tx_Data_request for 561435 times 
[24.0] Checking tx_Data_request for 561436 times 
[24.0] Checking tx_Data_request for 561437 times 
